#date,queriesUDP_IPV4,queriesTCP_IPv4,queriesTOTAL_IPv4,ratioTCP_IPv4,queriesUDP_IPV6,queriesTCP_IPv6,queriesTOTAL_IPv6,ratioTCP_IPv6
20131001,1932783813,16233260,1949017073,0.83,137495874,1977152,139473026,1.42
20131002,1898321257,16109503,1914430760,0.84,130967578,2009479,132977057,1.51
20131003,1902511580,16544976,1919056556,0.86,131823725,2120991,133944716,1.58
20131004,1889351738,17127284,1906479022,0.9,135551000,2128663,137679663,1.55
20131005,1692298563,15933380,1708231943,0.93,122020611,2059698,124080309,1.66
20131006,1708828289,15812809,1724641098,0.92,123511453,2077906,125589359,1.65
20131007,1936845719,16407749,1953253468,0.84,134362587,2161747,136524334,1.58
20131008,2013664420,15641718,2029306138,0.77,133520044,2039433,135559477,1.5
20131009,1994454074,14311523,2008765597,0.71,129221206,1870002,131091208,1.43
20131010,2056689071,15850978,2072540049,0.76,140731543,1816223,142547766,1.27
20131011,2000699107,15356559,2016055666,0.76,143384841,2546068,145930909,1.74
20131012,1728123177,16715177,1744838354,0.96,129420383,3095982,132516365,2.34
20131013,1647290631,14805558,1662096189,0.89,128371084,2977251,131348335,2.27
20131014,1861817922,16008087,1877826009,0.85,139078582,3367634,142446216,2.36
20131015,1951528020,18076925,1969604945,0.92,142817633,3563799,146381432,2.43
20131016,2019380210,17773106,2037153316,0.87,144610160,3395941,148006101,2.29
20131017,2186831828,19986165,2206817993,0.91,142006405,3677207,145683612,2.52
20131018,2349795543,21253545,2371049088,0.9,140719635,3670011,144389646,2.54
20131019,2100521868,19507325,2120029193,0.92,137751008,3649729,141400737,2.58
20131020,2071638872,19024228,2090663100,0.91,142052036,3614641,145666677,2.48
20131021,2395807302,21083724,2416891026,0.87,155240102,3689942,158930044,2.32
20131022,2403215274,21259721,2424474995,0.88,147951793,3690664,151642457,2.43
20131023,2334025019,23234065,2357259084,0.99,144324942,3668825,147993767,2.48
20131024,2364775807,21991700,2386767507,0.92,159684957,3695582,163380539,2.26
20131025,2492911757,20674772,2513586529,0.82,163955559,3694772,167650331,2.2
20131026,2403995974,19345502,2423341476,0.8,135800900,3639566,139440466,2.61
20131027,2302006079,18322204,2320328283,0.79,133409078,3617171,137026249,2.64
20131028,2803335643,20181629,2823517272,0.71,149778536,3683096,153461632,2.4
20131029,2685603142,20218079,2705821221,0.75,155612294,3662474,159274768,2.3
20131030,2417084234,23292054,2440376288,0.95,164479156,3380806,167859962,2.01
20131031,2372566750,22815292,2395382042,0.95,169244325,3430801,172675126,1.99
20131101,2204906571,21656376,2226562947,0.97,172253084,3640632,175893716,2.07
20131102,1867370013,19144579,1886514592,1.01,158482711,3507737,161990448,2.17
20131103,1919578799,19447481,1939026280,1.0,156341973,3327436,159669409,2.08
20131104,2282060788,23906213,2305967001,1.04,175512626,3540385,179053011,1.98
20131105,2397977224,22935320,2420912544,0.95,174198989,3670525,177869514,2.06
20131106,2498444573,21800583,2520245156,0.87,178138101,3668216,181806317,2.02
20131107,2541506053,22220652,2563726705,0.87,178822065,3679387,182501452,2.02
20131108,2567754987,22741414,2590496401,0.88,179166925,3567041,182733966,1.95
20131109,2262474191,21022169,2283496360,0.92,161525274,3608315,165133589,2.19
20131110,2157016477,20079565,2177096042,0.92,154744533,3569896,158314429,2.25
20131111,2483310187,21837291,2505147478,0.87,162444946,3799259,166244205,2.29
20131112,2605082119,21956174,2627038293,0.84,155950543,3524752,159475295,2.21
20131113,2748014854,21922973,2769937827,0.79,147300727,3522119,150822846,2.34
20131114,2530465826,22084136,2552549962,0.87,148759202,3528443,152287645,2.32
20131115,2487460956,22792003,2510252959,0.91,142704770,3505026,146209796,2.4
20131116,2258991094,22985681,2281976775,1.01,127275396,3424509,130699905,2.62
20131117,2119405035,20670338,2140075373,0.97,128414561,3395710,131810271,2.58
20131118,2407335755,24993059,2432328814,1.03,143958691,3504615,147463306,2.38
20131119,2434260684,24788521,2459049205,1.01,129086492,3755395,132841887,2.83
20131120,2447378640,23123996,2470502636,0.94,146900505,3992368,150892873,2.65
20131121,2361154482,22488914,2383643396,0.94,150581485,3987623,154569108,2.58
20131122,2415922908,23022140,2438945048,0.94,137429834,3897082,141326916,2.76
20131123,2162373832,21793710,2184167542,1.0,108509877,3660333,112170210,3.26
20131124,2139412997,21148462,2160561459,0.98,111042887,3647260,114690147,3.18
20131125,2511871174,22978698,2534849872,0.91,121797673,3733893,125531566,2.97
20131126,2583687680,24594181,2608281861,0.94,127693829,3805494,131499323,2.89
20131127,2444007561,25590126,2469597687,1.04,150251220,4060077,154311297,2.63
20131128,2349386696,24582396,2373969092,1.04,145717055,4037131,149754186,2.7
20131129,2269243689,26446931,2295690620,1.15,141502329,4026244,145528573,2.77
20131130,2125076949,22666286,2147743235,1.06,137869401,3945604,141815005,2.78
20131201,2048079292,21619759,2069699051,1.04,135899999,3943587,139843586,2.82
20131202,2484363503,25557967,2509921470,1.02,150124750,4100088,154224838,2.66
20131203,2332974850,25390098,2358364948,1.08,151823667,4115207,155938874,2.64
20131204,2464786150,25563717,2490349867,1.03,157110119,4079264,161189383,2.53
20131205,2542908655,27202150,2570110805,1.06,153358024,4054422,157412446,2.58
20131206,2463404781,24280898,2487685679,0.98,155270917,4001037,159271954,2.51
20131207,2180607640,22287953,2202895593,1.01,139051336,3971797,143023133,2.78
20131208,2179998477,21221452,2201219929,0.96,138697080,4038364,142735444,2.83
20131209,2531447278,25754323,2557201601,1.01,151246890,4134080,155380970,2.66
20131210,2568236166,24408915,2592645081,0.94,149750038,4085312,153835350,2.66
20131211,2553438822,23740926,2577179748,0.92,149636782,4085214,153721996,2.66
20131212,2596735356,24040108,2620775464,0.92,149658519,4086266,153744785,2.66
20131213,2526594030,23613760,2550207790,0.93,135240442,4289024,139529466,3.07
20131214,2286303799,22147102,2308450901,0.96,126435487,4100269,130535756,3.14
20131215,2239983774,21848808,2261832582,0.97,127475849,4107341,131583190,3.12
20131216,2589236306,23603787,2612840093,0.9,144600119,4223975,148824094,2.84
20131217,2610308457,23572647,2633881104,0.89,137888480,4225762,142114242,2.97
20131218,2619804767,23086366,2642891133,0.87,140797686,4246201,145043887,2.93
20131219,2688152730,24189142,2712341872,0.89,135006576,4266438,139273014,3.06
20131220,2918212683,25178038,2943390721,0.86,142419915,4217232,146637147,2.88
20131221,2459796135,22296636,2482092771,0.9,149741888,3284237,153026125,2.15
20131222,2371342586,21907817,2393250403,0.92,152050135,2471577,154521712,1.6
20131223,2581845553,22902783,2604748336,0.88,156224323,2526933,158751256,1.59
20131224,2498021012,21070529,2519091541,0.84,155191006,2272968,157463974,1.44
20131225,2501317542,22072642,2523390184,0.87,152127781,2511422,154639203,1.62
20131226,2645607417,22992296,2668599713,0.86,158360162,2565350,160925512,1.59
20131227,2544364921,23029231,2567394152,0.9,165875048,2643238,168518286,1.57
20131228,2332791915,21770812,2354562727,0.92,159404686,2624472,162029158,1.62
20131229,2234641317,21829645,2256470962,0.97,152800366,2595075,155395441,1.67
20131230,2524310849,23263697,2547574546,0.91,167429715,2613054,170042769,1.54
20131231,2478723339,23048517,2501771856,0.92,159737182,2574024,162311206,1.59
20140101,2376171906,21815245,2397987151,0.91,153491105,2527614,156018719,1.62
20140102,2832676094,23274142,2855950236,0.81,170114559,2656299,172770858,1.54
20140103,2809532841,23656542,2833189383,0.83,171958641,2627333,174585974,1.5
20140104,2559874258,22783390,2582657648,0.88,163062612,2543288,165605900,1.54
20140105,2567455844,22288478,2589744322,0.86,160603871,2563170,163167041,1.57
20140106,2906981765,23775350,2930757115,0.81,175180623,2684616,177865239,1.51
20140107,2859785391,24103580,2883888971,0.84,167370743,2636580,170007323,1.55
20140108,2956799350,23835935,2980635285,0.8,170542280,2637032,173179312,1.52
20140109,2990354882,22825961,3013180843,0.76,169768995,2549781,172318776,1.48
20140110,3010097473,23172513,3033269986,0.76,174432648,2539635,176972283,1.44
20140111,2723503815,22373596,2745877411,0.81,163091753,3209553,166301306,1.93
20140112,2615906431,22220957,2638127388,0.84,162137345,4039869,166177214,2.43
20140113,2857926854,24218818,2882145672,0.84,170737524,4113920,174851444,2.35
20140114,2993067571,24824043,3017891614,0.82,181522514,4199966,185722480,2.26
20140115,3020953655,24709758,3045663413,0.81,180115107,4255424,184370531,2.31
20140116,3065465527,27195974,3092661501,0.88,186457004,4572976,191029980,2.39
20140117,2944230447,25795859,2970026306,0.87,199946657,4549783,204496440,2.22
20140118,2628976849,23218850,2652195699,0.88,184076364,4255607,188331971,2.26
20140119,2589871830,23075671,2612947501,0.88,182295066,4152487,186447553,2.23
20140120,3026788274,25635856,3052424130,0.84,207151789,4260607,211412396,2.02
20140121,3002302605,25696913,3027999518,0.85,213319280,4055735,217375015,1.87
20140122,3026711417,25289778,3052001195,0.83,213078547,3931217,217009764,1.81
20140123,3008418836,25010448,3033429284,0.82,212019587,4045329,216064916,1.87
20140124,2955838842,25242993,2981081835,0.85,223513690,4221069,227734759,1.85
20140125,2543514966,26776411,2570291377,1.04,192259152,4090582,196349734,2.08
20140126,2505934251,24077718,2530011969,0.95,193297838,4056161,197353999,2.06
20140127,2775294711,24632533,2799927244,0.88,216698673,4173284,220871957,1.89
20140128,2821930138,25011414,2846941552,0.88,228065164,4297511,232362675,1.85
20140129,2790115933,24547229,2814663162,0.87,213063977,4006670,217070647,1.85
20140130,2823758647,25282154,2849040801,0.89,198304051,4135453,202439504,2.04
20140131,2636395164,23281147,2659676311,0.88,158645133,3972937,162618070,2.44
20140201,2344957546,22047636,2367005182,0.93,163793024,3829734,167622758,2.28
20140202,2301949337,22127321,2324076658,0.95,166458388,3827743,170286131,2.25
20140203,2661107544,23722998,2684830542,0.88,183928523,3954883,187883406,2.1
20140204,2825900223,24461699,2850361922,0.86,184866261,3966997,188833258,2.1
20140205,2814119809,24844205,2838964014,0.88,177270849,3921849,181192698,2.16
20140206,2879000328,24948685,2903949013,0.86,172013039,3958267,175971306,2.25
20140207,2898634636,25096853,2923731489,0.86,170832239,3955998,174788237,2.26
20140208,3420096823,31298985,3451395808,0.91,209092748,4816558,213909306,2.25
20140209,2824207992,27754866,2851962858,0.97,181845016,3991824,185836840,2.15
20140210,3037610832,29917290,3067528122,0.98,191281099,4006482,195287581,2.05
20140211,4817640851,42140003,4859780854,0.87,277399624,6086256,283485880,2.15
20140212,3330155469,26815841,3356971310,0.8,204619375,4170823,208790198,2.0
20140213,2809346570,24361866,2833708436,0.86,199350493,4261979,203612472,2.09
20140214,2771254631,21184931,2792439562,0.76,220944053,5394002,226338055,2.38
20140215,2611716489,20441694,2632158183,0.78,198362770,4138587,202501357,2.04
20140216,2560551993,20843116,2581395109,0.81,211419584,4427387,215846971,2.05
20140217,2863608185,22104022,2885712207,0.77,218389751,5940381,224330132,2.65
20140218,2910423807,25778502,2936202309,0.88,213951917,4979376,218931293,2.27
20140219,3251815510,28603073,3280418583,0.87,233425321,4330010,237755331,1.82
20140220,2987072693,24624958,3011697651,0.82,222726635,5161673,227888308,2.27
20140221,2710805280,21677583,2732482863,0.79,219307029,4371977,223679006,1.95
20140222,2427665579,20625286,2448290865,0.84,193869745,5240681,199110426,2.63
20140223,2551772490,21622556,2573395046,0.84,184586885,4197138,188784023,2.22
20140224,2740660056,21710093,2762370149,0.79,200560854,5689288,206250142,2.76
20140225,2425873925,20465836,2446339761,0.84,202451113,4206909,206658022,2.04
20140226,1565695641,14091532,1579787173,0.89,199148678,5841204,204989882,2.85
20140227,2098877651,16488796,2115366447,0.78,203320404,4634080,207954484,2.23
20140228,2882020160,20941731,2902961891,0.72,216087257,4525627,220612884,2.05
20140301,2792600978,21967965,2814568943,0.78,200411849,4357825,204769674,2.13
20140302,2542898001,20094645,2562992646,0.78,190499752,4337683,194837435,2.23
20140303,2865062928,20739522,2885802450,0.72,212281594,4582419,216864013,2.11
20140304,2927025279,21707185,2948732464,0.74,216889713,4728346,221618059,2.13
20140305,2941966115,21994180,2963960295,0.74,212801570,4727364,217528934,2.17
20140306,2931265129,24865336,2956130465,0.84,223235997,4673007,227909004,2.05
20140307,2931635183,23129610,2954764793,0.78,221586346,4698736,226285082,2.08
20140308,2794019690,22614499,2816634189,0.8,208869708,4796519,213666227,2.24
20140309,2684397085,22169672,2706566757,0.82,200028999,4729427,204758426,2.31
20140310,2883561615,23503877,2907065492,0.81,227404991,4963353,232368344,2.14
20140311,2938801323,23725755,2962527078,0.8,224369346,4785331,229154677,2.09
20140312,3067640748,24492352,3092133100,0.79,222168561,4530310,226698871,2.0
20140313,2931850697,26002092,2957852789,0.88,214254466,3983960,218238426,1.83
20140314,2893607035,24690850,2918297885,0.85,214435561,4081374,218516935,1.87
20140315,2562954042,21868225,2584822267,0.85,202406512,3773470,206179982,1.83
20140316,2564481282,22350868,2586832150,0.86,199812144,3976153,203788297,1.95
20140317,2820761697,23162220,2843923917,0.81,216944959,4380043,221325002,1.98
20140318,2881754185,22916114,2904670299,0.79,225928998,4328900,230257898,1.88
20140319,2973419841,24033133,2997452974,0.8,232492768,4362526,236855294,1.84
20140320,2947027166,23199044,2970226210,0.78,228000694,4106084,232106778,1.77
20140321,2846779044,22785555,2869564599,0.79,215615766,3478720,219094486,1.59
20140322,2616316928,22125678,2638442606,0.84,203306840,2836844,206143684,1.38
20140323,2637352622,23021269,2660373891,0.87,199178221,2804987,201983208,1.39
20140324,2766435879,23016782,2789452661,0.83,214182748,2966910,217149658,1.37
20140325,2853853272,21721410,2875574682,0.76,218024250,3029258,221053508,1.37
20140326,3584965766,28845607,3613811373,0.8,255952677,3362632,259315309,1.3
