#date,queriesUDP_IPV4,queriesTCP_IPv4,queriesTOTAL_IPv4,ratioTCP_IPv4,queriesUDP_IPV6,queriesTCP_IPv6,queriesTOTAL_IPv6,ratioTCP_IPv6
20151101,2210108926,19833027,2229941953,0.89,205317838,592360,205910198,0.29
20151102,2589565878,17602688,2607168566,0.68,217193487,724808,217918295,0.33
20151103,2679071781,18444561,2697516342,0.68,212113283,566433,212679716,0.27
20151104,2785363801,17970788,2803334589,0.64,208802592,492042,209294634,0.24
20151105,2830195251,19511641,2849706892,0.68,212380648,497953,212878601,0.23
20151106,2685197840,19468144,2704665984,0.72,213801132,543791,214344923,0.25
20151107,2610575489,18310739,2628886228,0.7,200122413,606930,200729343,0.3
20151108,2698666893,17191511,2715858404,0.63,199979466,505164,200484630,0.25
20151109,2739474513,18932375,2758406888,0.69,211119875,609986,211729861,0.29
20151110,2791774562,18292807,2810067369,0.65,217174453,601544,217775997,0.28
20151111,3044457165,19008624,3063465789,0.62,213672720,507111,214179831,0.24
20151112,3112396340,23247281,3135643621,0.74,214411824,509609,214921433,0.24
20151113,2870423409,19795446,2890218855,0.68,218197277,472602,218669879,0.22
20151114,2632604351,20476870,2653081221,0.77,207291003,466284,207757287,0.22
20151115,2789895364,21486525,2811381889,0.76,208380148,415318,208795466,0.2
20151116,3132181374,22491434,3154672808,0.71,219403611,453109,219856720,0.21
20151117,2897917514,23009117,2920926631,0.79,219589327,498390,220087717,0.23
20151118,2873775868,23307640,2897083508,0.8,218881561,522993,219404554,0.24
20151119,3059094683,23471971,3082566654,0.76,217810635,434544,218245179,0.2
20151120,3153056047,22867498,3175923545,0.72,215794967,502165,216297132,0.23
20151121,2956928397,22915330,2979843727,0.77,203252572,403872,203656444,0.2
20151122,2553597166,21322846,2574920012,0.83,205835675,482185,206317860,0.23
20151123,2990573308,22819042,3013392350,0.76,216527396,414435,216941831,0.19
20151124,3212093886,21825222,3233919108,0.67,223009260,435273,223444533,0.19
20151125,2996107165,19785484,3015892649,0.66,218373118,453628,218826746,0.21
20151126,2668304550,21773083,2690077633,0.81,210825547,465877,211291424,0.22
20151127,2662126829,21704175,2683831004,0.81,215589328,457731,216047059,0.21
20151128,2667698660,20290922,2687989582,0.75,203205890,436334,203642224,0.21
20151129,2641696441,20849359,2662545800,0.78,204834264,411282,205245546,0.2
20151130,3374747860,33928256,3408676116,1.0,243877153,647669,244524822,0.26
20151201,3254987114,27373161,3282360275,0.83,243517076,582062,244099138,0.24
20151202,3432005636,23963659,3455969295,0.69,238691817,577609,239269426,0.24
20151203,3163327900,23034748,3186362648,0.72,235023246,570977,235594223,0.24
20151204,3068446446,20742327,3089188773,0.67,237091735,655281,237747016,0.28
20151205,2816691578,19729032,2836420610,0.7,218113202,619846,218733048,0.28
20151206,3021357051,19494157,3040851208,0.64,214548396,606672,215155068,0.28
20151207,3250865937,21654225,3272520162,0.66,226099353,551247,226650600,0.24
20151208,3113144866,22467925,3135612791,0.72,233986683,677103,234663786,0.29
20151209,3136667529,24483039,3161150568,0.77,235143552,748857,235892409,0.32
20151210,3292625793,26882053,3319507846,0.81,237595540,673921,238269461,0.28
20151211,3049399362,39280814,3088680176,1.27,230550133,629333,231179466,0.27
20151212,2701295076,47436284,2748731360,1.73,213307529,612866,213920395,0.29
20151213,2612611759,51135897,2663747656,1.92,218308224,690796,218999020,0.32
20151214,3002297402,58310142,3060607544,1.91,234370771,657165,235027936,0.28
20151215,3022125638,68499328,3090624966,2.22,236259429,1119511,237378940,0.47
20151216,2943405820,69968029,3013373849,2.32,236432977,990352,237423329,0.42
20151217,2818763142,60405596,2879168738,2.1,230500372,596270,231096642,0.26
20151218,3118170653,62449215,3180619868,1.96,229007085,712731,229719816,0.31
20151219,2645221449,54407785,2699629234,2.02,215276697,663767,215940464,0.31
20151220,2527750594,54861319,2582611913,2.12,213130546,757413,213887959,0.35
20151221,2572736205,52829813,2625566018,2.01,224563402,668411,225231813,0.3
20151222,2515211172,50177874,2565389046,1.96,224242430,629827,224872257,0.28
20151223,2461531807,46995239,2508527046,1.87,223972411,608214,224580625,0.27
20151224,2325359996,41963001,2367322997,1.77,215672921,578272,216251193,0.27
20151225,2258932779,36634419,2295567198,1.6,200330579,639456,200970035,0.32
20151226,2310892247,38206080,2349098327,1.63,199950331,532946,200483277,0.27
20151227,2317120508,47110262,2364230770,1.99,202375637,620492,202996129,0.31
20151228,2653630169,48213501,2701843670,1.78,213049145,590623,213639768,0.28
20151229,2544158893,47616967,2591775860,1.84,216715478,630784,217346262,0.29
20151230,2504183767,41307024,2545490791,1.62,209825880,592552,210418432,0.28
20151231,2668004407,46348867,2714353274,1.71,211471347,612995,212084342,0.29
